Año,Variable,Rama,Valor,% del total de la economía,Unidad,A precios,Medición
2004,Valor bruto de la producción,Minería,4462.924902,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2005,Valor bruto de la producción,Minería,5144.106128,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2006,Valor bruto de la producción,Minería,5799.615675,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2007,Valor bruto de la producción,Minería,5651.902963,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2008,Valor bruto de la producción,Minería,5695.278449,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2009,Valor bruto de la producción,Minería,6685.601283,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2010,Valor bruto de la producción,Minería,7432.173727,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2011,Valor bruto de la producción,Minería,7005.864316,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2012,Valor bruto de la producción,Minería,7103.811562,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2013,Valor bruto de la producción,Minería,6225.773823,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2014,Valor bruto de la producción,Minería,6729.811641,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2015,Valor bruto de la producción,Minería,7070.126802,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2016,Valor bruto de la producción,Minería,6589.484466,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2017,Valor bruto de la producción,Minería,6676.984619,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2018,Valor bruto de la producción,Minería,6316.157014,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2019,Valor bruto de la producción,Minería,5763.884008,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2020,Valor bruto de la producción,Minería,5330.66305,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2021,Valor bruto de la producción,Minería,6059.691149,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2022,Valor bruto de la producción,Minería,6619.570695,0.5%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2023,Valor bruto de la producción,Minería,6966.382942,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2024,Valor bruto de la producción,Minería,6870.767278,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2025,Valor bruto de la producción,Minería,7260.194157,0.6%,Millones de pesos de 2004,Constantes,En pesos constantes de 2004
2004,Valor bruto de la producción,Minería,4462.924902,0.5%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2005,Valor bruto de la producción,Minería,6527.909479,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2006,Valor bruto de la producción,Minería,10982.75021,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2007,Valor bruto de la producción,Minería,11981.2601,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2008,Valor bruto de la producción,Minería,12556.86359,0.7%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2009,Valor bruto de la producción,Minería,15848.71784,0.8%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2010,Valor bruto de la producción,Minería,24560.61501,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
2011,Valor bruto de la producción,Minería,30843.65094,0.9%,Millones de pesos corrientes,Corrientes,En pesos corrientes
